
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.31.33:13150    106.2.69.38:443        CLOSE_WAIT      22048
  TCP    192.168.31.33:13151    106.2.69.38:443        CLOSE_WAIT      22048
  TCP    192.168.31.33:13152    106.2.69.38:443        CLOSE_WAIT      22048
  TCP    192.168.31.33:13153    111.7.109.87:443       TIME_WAIT       0
  TCP    192.168.31.33:13154    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13155    111.7.109.98:443       TIME_WAIT       0
  TCP    192.168.31.33:13156    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13157    106.2.69.38:443        TIME_WAIT       0
  TCP    192.168.31.33:13160    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13161    106.2.69.38:443        TIME_WAIT       0
  TCP    192.168.31.33:13162    42.186.122.59:50441    ESTABLISHED     21100
  TCP    192.168.31.33:13163    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13164    106.2.69.38:443        ESTABLISHED     22048
  TCP    192.168.31.33:13167    211.142.197.72:443     ESTABLISHED     22048
  TCP    192.168.31.33:13168    211.142.197.72:443     ESTABLISHED     22048
  TCP    192.168.31.33:13169    111.7.109.98:443       ESTABLISHED     22048
  TCP    192.168.31.33:13170    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13171    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13172    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13175    64.233.189.188:443     ESTABLISHED     15048
  TCP    192.168.31.33:13186    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13187    117.184.44.36:2139     ESTABLISHED     22048
  TCP    192.168.31.33:13190    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13192    106.2.69.38:443        TIME_WAIT       0
  TCP    192.168.31.33:13194    106.2.69.38:443        TIME_WAIT       0
  TCP    [::]:7                 [::]:0                 LISTENING       7188
  TCP    [::]:9                 [::]:0                 LISTENING       7188
  TCP    [::]:13                [::]:0                 LISTENING       7188
  TCP    [::]:17                [::]:0                 LISTENING       7188
  TCP    [::]:19                [::]:0                 LISTENING       7188
  TCP    [::]:135               [::]:0                 LISTENING       1560
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2179              [::]:0                 LISTENING       3036
  TCP    [::]:3306              [::]:0                 LISTENING       8360
  TCP    [::]:3389              [::]:0                 LISTENING       1812
  TCP    [::]:4323              [::]:0                 LISTENING       6384
  TCP    [::]:4325              [::]:0                 LISTENING       1240
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       4156
  TCP    [::]:8733              [::]:0                 LISTENING       4
  TCP    [::]:33060             [::]:0                 LISTENING       8360
  TCP    [::]:49664             [::]:0                 LISTENING       1272
  TCP    [::]:49665             [::]:0                 LISTENING       112
  TCP    [::]:49666             [::]:0                 LISTENING       1340
  TCP    [::]:49667             [::]:0                 LISTENING       2636
  TCP    [::]:49668             [::]:0                 LISTENING       3580
  TCP    [::1]:35979            [::]:0                 LISTENING       27160
  UDP    0.0.0.0:7              *:*                                    7188
  UDP    0.0.0.0:9              *:*                                    7188
  UDP    0.0.0.0:13             *:*                                    7188
  UDP    0.0.0.0:17             *:*                                    7188
  UDP    0.0.0.0:19             *:*                                    7188
